Leg1_x,Leg1_y,Leg1_z,Leg2_x,Leg2_y,Leg2_z,Leg3_x,Leg3_y,Leg3_z,Leg4_x,Leg4_y,Leg4_z,deltaTime,XGyro,YGyro
150.0,150.0,-150.0,150.0,150.0,150.0,150.0,150.0,-150.0,150.0,150.0,150.0,1562086773806,0.016763383522629738,0.007535101380199194
150.0,150.0,-150.0,150.0,150.0,150.0,150.0,150.0,-150.0,150.0,150.0,150.0,2022,-0.3654104471206665,-0.4974592328071594
150.0,150.0,-150.0,150.0,150.0,150.0,150.0,150.0,-150.0,150.0,150.0,150.0,15,-0.36024659872055054,-0.48614317178726196
149.73704141222476,150.93065241733564,-149.67832771052758,150.26222409351078,150.09152494323953,149.68011914490432,150.26222409351078,149.0682042356481,-150.3187885241556,149.73704141222476,149.9073317097442,150.3205799585324,0,-0.3584165871143341,-0.48139941692352295
149.73704141222476,150.93065241733564,-149.67832771052758,150.26222409351078,150.09152494323953,149.68011914490432,150.26222409351078,149.0682042356481,-150.3187885241556,149.73704141222476,149.9073317097442,150.3205799585324,16,-0.3602958023548126,-0.4831315875053406
149.41643826209815,152.1353624958733,-149.23566870904932,150.57995665362296,150.27633307891486,149.24504576810733,150.57995665362296,147.85856492167503,-150.74885658481185,149.41643826209815,149.71759433863346,150.7582336438698,15,-0.36594313383102417,-0.4831794500350952
149.07351026486236,153.34507286429192,-148.80480714467575,150.91743537132453,150.3989662597003,148.8279110982005,150.91743537132453,146.6400359034062,-151.157349988941,149.07351026486236,149.5861425079978,151.1804539424657,7,-0.37754347920417786,-0.4821314811706543
149.07351026486236,153.34507286429192,-148.80480714467575,150.91743537132453,150.3989662597003,148.8279110982005,150.91743537132453,146.6400359034062,-151.157349988941,149.07351026486236,149.5861425079978,151.1804539424657,16,-0.37368330359458923,-0.487205445766449
148.75576517785254,154.49121270819774,-148.38256821196882,151.22795912002164,150.54139659008652,148.4242618254171,151.22795912002164,145.48188899194597,-151.5490352507295,148.75576517785254,149.43170511005718,151.59072886417778,0,-0.3734109103679657,-0.4973613917827606
148.75576517785254,154.49121270819774,-148.38256821196882,151.22795912002164,150.54139659008652,148.4242618254171,151.22795912002164,145.48188899194597,-151.5490352507295,148.75576517785254,149.43170511005718,151.59072886417778,15,-0.37163838744163513,-0.49806755781173706
